data,OLEO3,FUEL3
2022-05-02,9.38,7.36
2022-05-03,9.36,7.07
2022-05-04,9.09,7.08
2022-05-05,8.92,7.52
2022-05-06,8.59,7.76
2022-05-09,8.21,7.79
2022-05-10,8.15,7.71
2022-05-11,8.01,7.63
2022-05-12,7.74,7.61
2022-05-13,7.59,7.56
2022-05-16,7.49,7.86
2022-05-17,7.59,7.46
2022-05-18,7.7,7.7
2022-05-19,7.73,7.6
2022-05-20,7.94,7.32
2022-05-23,7.96,7.17
2022-05-24,8.02,7.13
2022-05-25,7.83,7.41
2022-05-26,7.7,7.24
2022-05-27,7.7,7.56
2022-05-30,7.63,7.41
2022-05-31,7.98,7.72
2022-06-01,8.1,7.65
2022-06-02,8.25,8.16
2022-06-03,8.23,8.35
2022-06-06,8.32,8.28
2022-06-07,8.65,8.7
2022-06-08,8.52,8.74
2022-06-09,8.79,8.43
2022-06-10,8.47,8.34
2022-06-13,8.61,7.99
2022-06-14,8.84,7.68
2022-06-15,9.07,7.89
2022-06-16,9.3,7.95
2022-06-17,8.97,7.75
2022-06-20,8.9,7.85
2022-06-21,9.28,7.66
2022-06-22,9.54,7.71
2022-06-23,9.4,7.77
2022-06-24,9.24,7.97
2022-06-27,9.36,7.34
2022-06-28,9.35,7.44
2022-06-29,9.32,7.75
2022-06-30,9.52,7.77
2022-07-01,9.53,7.8
2022-07-04,9.51,7.76
2022-07-05,9.04,7.75
2022-07-06,8.86,7.81
2022-07-07,8.79,7.66
2022-07-08,8.48,7.59
2022-07-11,8.1,7.86
2022-07-12,7.95,7.84
2022-07-13,7.63,8.38
2022-07-14,7.6,8.6
2022-07-15,7.3,8.53
2022-07-18,7.35,8.51
2022-07-19,7.22,8.36
2022-07-20,7.06,8.48
2022-07-21,7.01,8.49
2022-07-22,6.93,8.48
2022-07-25,6.96,8.74
2022-07-26,6.92,8.59
2022-07-27,6.89,8.53
2022-07-28,6.8,8.38
2022-07-29,6.67,8.37
2022-08-01,6.72,8.36
2022-08-02,6.65,8.38
2022-08-03,6.27,8.61
2022-08-04,6.22,8.92
2022-08-05,6.16,9.27
2022-08-08,6.29,8.97
2022-08-09,6.53,9.13
2022-08-10,6.94,9.14
2022-08-11,6.84,9.14
2022-08-12,6.97,8.81
2022-08-15,7.1,9.33
2022-08-16,6.78,8.98
2022-08-17,6.44,8.91
2022-08-18,6.11,9.05
2022-08-19,6.12,9.09
2022-08-22,6.01,8.9
2022-08-23,6.21,9.14
2022-08-24,6.14,9.59
2022-08-25,6.36,9.48
2022-08-26,6.46,9.55
2022-08-29,6.81,9.07
2022-08-30,6.42,9.05
2022-08-31,6.57,9.19
2022-09-01,6.51,9.24
2022-09-02,6.57,8.92
2022-09-05,6.67,8.69
2022-09-06,6.56,8.68
2022-09-07,6.39,8.65
2022-09-08,6.63,8.75
2022-09-09,6.71,8.85
2022-09-12,6.9,8.82
2022-09-13,7.16,8.56
2022-09-14,7.65,8.79
2022-09-15,7.72,9.04
2022-09-16,7.58,9.07
2022-09-19,7.63,9.2
2022-09-20,7.86,9.37
2022-09-21,7.78,10.17
2022-09-22,7.64,10.48
2022-09-23,7.25,10.51
2022-09-26,7.3,10.11
2022-09-27,7.29,9.87
2022-09-28,7.22,9.85
2022-09-29,7.35,9.78
2022-09-30,7.37,9.7
2022-10-03,7.48,9.79
2022-10-04,8.04,9.71
2022-10-05,8.27,10.01
2022-10-06,8.31,9.82
2022-10-07,8.34,10.36
2022-10-10,8.25,11.23
2022-10-11,8.29,11.08
2022-10-12,8.09,10.89
2022-10-13,8.12,11.19
2022-10-14,7.77,11.5
2022-10-17,7.98,11.71
2022-10-18,8.35,12.04
2022-10-19,8.22,11.6
2022-10-20,8.0,11.39
2022-10-21,7.78,11.6
2022-10-24,7.9,11.73
2022-10-25,8.02,11.86
2022-10-26,8.22,11.84
2022-10-27,7.79,11.34
2022-10-28,8.07,11.25
2022-10-31,8.03,11.78
2022-11-01,8.25,11.61
2022-11-02,8.65,11.97
2022-11-03,8.57,11.83
2022-11-04,8.69,12.19
2022-11-07,8.61,12.78
2022-11-08,8.55,12.48
2022-11-09,8.89,12.74
2022-11-10,8.84,12.03
2022-11-11,9.05,11.65
2022-11-14,9.21,11.65
2022-11-15,9.54,11.89
2022-11-16,10.04,11.92
2022-11-17,10.22,12.03
2022-11-18,10.49,12.26
2022-11-21,10.97,12.32
2022-11-22,11.13,12.57
2022-11-23,10.85,12.99
2022-11-24,11.3,12.91
2022-11-25,11.38,12.43
2022-11-28,11.85,12.03
2022-11-29,11.01,11.84
2022-11-30,11.45,11.17
2022-12-01,11.65,11.4
2022-12-02,11.67,11.89
2022-12-05,11.98,11.68
2022-12-06,12.36,11.3
2022-12-07,12.64,11.92
2022-12-08,12.94,11.9
2022-12-09,12.66,11.99
2022-12-12,12.3,12.28
2022-12-13,11.78,12.32
2022-12-14,12.19,12.33
2022-12-15,12.11,12.54
2022-12-16,11.96,12.5
2022-12-19,12.0,12.36
2022-12-20,12.24,11.96
2022-12-21,11.9,12.06
2022-12-22,11.93,11.7
2022-12-23,12.38,11.54
2022-12-26,12.2,12.24
2022-12-27,12.91,12.02
2022-12-28,13.22,12.81
2022-12-29,13.09,13.11
2022-12-30,13.3,13.66
2023-01-02,13.44,13.63
2023-01-03,12.85,14.62
2023-01-04,12.79,15.64
2023-01-05,12.34,15.0
2023-01-06,12.13,15.13
2023-01-09,12.59,15.11
2023-01-10,12.53,14.26
2023-01-11,12.21,13.7
2023-01-12,12.2,13.32
2023-01-13,12.18,12.78
2023-01-16,12.36,13.13
2023-01-17,12.71,12.64
2023-01-18,12.34,12.44
2023-01-19,12.05,12.94
2023-01-20,11.57,12.73
2023-01-23,11.94,12.77
2023-01-24,12.63,12.78
2023-01-25,12.49,12.76
2023-01-26,12.41,12.9
2023-01-27,12.31,12.47
2023-01-30,12.2,13.19
2023-01-31,12.07,12.58
2023-02-01,12.13,12.7
2023-02-02,12.27,12.54
2023-02-03,12.54,12.79
2023-02-06,12.43,12.99
2023-02-07,12.6,12.79
2023-02-08,12.25,12.23
2023-02-09,12.05,12.61
2023-02-10,12.41,12.26
2023-02-13,12.01,11.69
2023-02-14,11.58,11.36
2023-02-15,11.27,11.49
2023-02-16,11.17,11.2
2023-02-17,11.35,11.74
2023-02-20,11.31,11.73
2023-02-21,11.72,11.5
2023-02-22,11.96,11.61
2023-02-23,12.01,11.68
2023-02-24,12.43,11.81
2023-02-27,12.29,12.43
2023-02-28,11.5,12.19
2023-03-01,11.65,12.21
2023-03-02,11.62,12.22
2023-03-03,12.17,12.46
2023-03-06,12.59,12.1
2023-03-07,12.64,11.62
2023-03-08,12.4,10.68
2023-03-09,12.96,11.07
2023-03-10,13.03,10.43
2023-03-13,13.72,10.53
2023-03-14,13.62,10.65
2023-03-15,13.32,10.68
2023-03-16,13.68,10.47
2023-03-17,13.61,11.03
2023-03-20,13.6,10.98
2023-03-21,14.18,10.37
2023-03-22,14.16,10.37
2023-03-23,14.09,10.53
2023-03-24,14.09,10.41
2023-03-27,13.87,10.8
2023-03-28,13.77,11.07
2023-03-29,13.79,11.22
2023-03-30,13.85,10.66
2023-03-31,13.79,11.1
2023-04-03,13.0,11.39
2023-04-04,13.03,11.84
2023-04-05,14.18,11.99
2023-04-06,14.16,11.94
2023-04-07,14.16,12.23
2023-04-10,14.22,12.56
2023-04-11,14.56,12.67
2023-04-12,15.14,12.72
2023-04-13,15.09,12.37
2023-04-14,15.47,11.93
2023-04-17,15.37,12.26
2023-04-18,15.05,12.46
2023-04-19,15.43,12.2
2023-04-20,15.41,12.1
2023-04-21,15.53,11.54
2023-04-24,16.31,11.52
2023-04-25,16.46,11.27
2023-04-26,15.76,11.69
2023-04-27,16.16,12.22
2023-04-28,15.64,12.15
2023-05-01,15.32,12.62
2023-05-02,15.69,11.56
2023-05-03,15.43,11.13
2023-05-04,15.43,11.01
2023-05-05,15.24,10.95
2023-05-08,15.79,11.47
2023-05-09,15.64,11.26
2023-05-10,15.91,11.31
2023-05-11,15.49,11.56
2023-05-12,16.02,11.42
2023-05-15,16.38,10.44
2023-05-16,16.66,10.6
2023-05-17,16.64,9.83
2023-05-18,16.68,9.68
2023-05-19,17.25,10.4
2023-05-22,17.3,10.14
2023-05-23,16.82,10.34
2023-05-24,16.83,10.11
2023-05-25,16.41,9.86
2023-05-26,16.49,9.99
2023-05-29,15.84,10.38
2023-05-30,15.94,10.34
2023-05-31,16.27,10.33
2023-06-01,16.67,9.26
2023-06-02,16.97,9.18
2023-06-05,17.0,8.72
2023-06-06,17.41,8.92
2023-06-07,17.61,8.88
2023-06-08,17.98,9.27
2023-06-09,17.57,8.67
2023-06-12,17.28,8.53
2023-06-13,16.65,9.12
2023-06-14,16.85,9.24
2023-06-15,17.27,8.99
2023-06-16,17.92,8.74
2023-06-19,17.3,8.83
2023-06-20,18.08,9.32
2023-06-21,17.74,9.11
2023-06-22,16.96,9.3
2023-06-23,17.32,9.44
2023-06-26,17.39,9.43
2023-06-27,16.61,9.68
2023-06-28,15.95,9.21
2023-06-29,15.65,9.19
2023-06-30,16.15,9.47
2023-07-03,17.54,9.38
2023-07-04,17.13,9.13
2023-07-05,17.52,9.17
2023-07-06,17.35,9.0
2023-07-07,16.77,8.81
2023-07-10,16.85,8.89
2023-07-11,17.16,8.74
2023-07-12,17.0,8.72
2023-07-13,17.27,8.19
2023-07-14,17.23,8.63
2023-07-17,17.48,8.77
2023-07-18,17.52,8.74
2023-07-19,17.59,8.77
2023-07-20,17.6,8.93
2023-07-21,17.97,9.57
2023-07-24,19.53,9.53
2023-07-25,19.98,9.97
2023-07-26,20.31,10.2
2023-07-27,19.89,9.81
2023-07-28,18.46,9.89
2023-07-31,17.71,9.96
2023-08-01,18.04,10.2
2023-08-02,17.85,10.18
2023-08-03,17.4,10.18
2023-08-04,17.3,10.5
2023-08-07,17.09,10.13
2023-08-08,16.84,10.2
2023-08-09,16.72,10.43
2023-08-10,16.5,10.52
2023-08-11,15.79,10.76
2023-08-14,15.44,10.76
2023-08-15,15.33,10.9
2023-08-16,15.12,10.67
2023-08-17,16.37,10.42
2023-08-18,16.23,10.06
2023-08-21,16.06,9.93
2023-08-22,16.53,10.29
2023-08-23,15.97,10.23
2023-08-24,15.78,10.22
2023-08-25,16.25,9.73
2023-08-28,16.85,10.04
2023-08-29,16.81,9.71
2023-08-30,17.24,9.63
2023-08-31,16.71,9.58
2023-09-01,16.79,9.54
2023-09-04,16.82,9.57
2023-09-05,16.73,10.49
2023-09-06,16.59,10.77
2023-09-07,17.14,10.94
2023-09-08,17.22,10.19
2023-09-11,18.01,10.02
2023-09-12,17.75,10.44
2023-09-13,17.37,10.4
2023-09-14,17.13,10.11
2023-09-15,17.29,10.32
2023-09-18,17.34,10.15
2023-09-19,18.44,10.53
2023-09-20,18.42,10.57
2023-09-21,18.33,10.34
2023-09-22,18.04,11.1
2023-09-25,18.12,11.23
2023-09-26,18.53,11.12
2023-09-27,18.9,10.66
2023-09-28,17.62,10.67
2023-09-29,18.02,10.66
2023-10-02,18.54,10.43
2023-10-03,18.4,9.94
2023-10-04,18.12,9.81
2023-10-05,17.37,9.85
2023-10-06,16.85,10.32
2023-10-09,16.87,10.29
2023-10-10,16.58,10.48
2023-10-11,16.31,10.95
2023-10-12,15.78,10.17
2023-10-13,15.77,9.8
2023-10-16,15.81,9.5
2023-10-17,15.6,9.88
2023-10-18,15.9,9.5
2023-10-19,16.13,8.94
2023-10-20,16.18,9.2
2023-10-23,15.51,9.03
2023-10-24,15.51,8.91
2023-10-25,15.35,8.69
2023-10-26,15.38,8.4
2023-10-27,15.3,8.48
2023-10-30,15.34,8.73
2023-10-31,15.64,9.02
2023-11-01,15.41,8.53
2023-11-02,15.5,8.61
2023-11-03,15.61,8.93
2023-11-06,15.68,8.81
2023-11-07,15.23,8.88
2023-11-08,15.01,8.74
2023-11-09,15.35,8.58
2023-11-10,15.8,8.1
2023-11-13,16.51,8.57
2023-11-14,17.13,8.43
2023-11-15,17.36,8.72
2023-11-16,17.35,8.23
2023-11-17,17.53,8.34
2023-11-20,18.0,8.25
2023-11-21,17.7,7.87
2023-11-22,17.57,8.06
2023-11-23,17.34,7.89
2023-11-24,17.69,7.67
2023-11-27,17.73,7.6
2023-11-28,17.89,7.49
2023-11-29,17.0,7.42
2023-11-30,16.89,7.56
2023-12-01,17.48,7.52
2023-12-04,16.99,7.25
2023-12-05,16.84,7.58
2023-12-06,17.04,7.97
2023-12-07,17.48,7.76
2023-12-08,17.82,7.17
2023-12-11,17.47,7.26
2023-12-12,16.5,7.14
2023-12-13,15.63,7.16
2023-12-14,15.51,7.02
2023-12-15,15.13,7.33
2023-12-18,15.36,7.16
2023-12-19,15.79,7.28
2023-12-20,16.28,7.42
2023-12-21,16.41,7.76
2023-12-22,16.06,7.73
2023-12-25,16.06,7.58
2023-12-26,16.32,7.49
2023-12-27,16.22,7.76
2023-12-28,16.66,8.09
2023-12-29,16.73,8.53
2024-01-01,16.57,8.39
2024-01-02,16.6,8.55
2024-01-03,16.8,9.02
2024-01-04,16.86,9.11
2024-01-05,17.51,8.88
2024-01-08,18.12,8.92
2024-01-09,18.57,8.72
2024-01-10,18.51,9.15
2024-01-11,18.4,9.13
2024-01-12,18.36,8.95
2024-01-15,18.57,8.7
2024-01-16,19.42,8.24
2024-01-17,19.84,8.39
2024-01-18,19.37,8.04
2024-01-19,19.04,8.14
2024-01-22,18.91,8.4
2024-01-23,19.58,8.44
2024-01-24,19.99,8.32
2024-01-25,20.52,8.69
2024-01-26,20.32,8.7
2024-01-29,19.64,8.82
2024-01-30,19.54,8.75
2024-01-31,19.85,9.25
2024-02-01,20.52,9.26
2024-02-02,20.83,9.42
2024-02-05,21.31,9.72
2024-02-06,21.11,9.33
2024-02-07,20.97,9.33
2024-02-08,21.05,9.87
2024-02-09,20.85,9.31
2024-02-12,21.06,9.18
2024-02-13,21.25,9.41
2024-02-14,20.68,9.53
2024-02-15,21.49,9.75
2024-02-16,21.02,9.56
2024-02-19,21.57,9.57
2024-02-20,21.25,9.62
2024-02-21,21.34,9.76
2024-02-22,21.32,9.36
2024-02-23,20.32,9.26
2024-02-26,20.5,9.26
2024-02-27,19.91,8.77
2024-02-28,18.6,9.01
2024-02-29,19.21,8.51
2024-03-01,18.88,8.55
2024-03-04,17.98,8.9
2024-03-05,19.24,9.15
2024-03-06,19.75,9.13
2024-03-07,19.58,8.86
2024-03-08,19.21,8.95
2024-03-11,19.48,8.83
2024-03-12,18.34,8.66
2024-03-13,17.86,8.58
2024-03-14,17.63,8.48
2024-03-15,17.76,8.33
2024-03-18,18.3,8.06
2024-03-19,18.47,8.1
2024-03-20,18.65,8.08
2024-03-21,18.26,8.29
2024-03-22,18.09,8.69
2024-03-25,18.8,9.02
2024-03-26,19.0,9.36
2024-03-27,18.82,9.56
2024-03-28,19.05,9.66
2024-03-29,18.79,9.55
2024-04-01,18.91,9.54
2024-04-02,18.63,9.15
2024-04-03,19.6,8.96
2024-04-04,19.0,9.38
2024-04-05,18.98,9.61
2024-04-08,19.1,9.67
2024-04-09,19.83,9.74
2024-04-10,19.2,9.51
2024-04-11,18.94,9.77
2024-04-12,18.98,9.96
2024-04-15,19.52,9.98
2024-04-16,20.88,9.65
2024-04-17,20.57,9.63
2024-04-18,20.48,10.08
2024-04-19,21.67,10.22
2024-04-22,21.77,10.39
2024-04-23,21.23,10.54
2024-04-24,21.58,10.08
2024-04-25,21.67,9.86
2024-04-26,21.22,9.93
2024-04-29,21.67,10.13
2024-04-30,22.06,10.08
2024-05-01,21.84,10.34
2024-05-02,22.57,10.64
2024-05-03,21.73,10.47
2024-05-06,21.68,10.59
2024-05-07,21.74,9.93
2024-05-08,22.62,10.01
2024-05-09,22.21,9.99
2024-05-10,22.56,9.86
2024-05-13,22.94,9.66
2024-05-14,23.51,9.68
2024-05-15,23.95,9.52
2024-05-16,24.31,9.43
2024-05-17,24.11,9.09
2024-05-20,24.58,9.21
2024-05-21,25.13,8.8
2024-05-22,26.06,8.44
2024-05-23,25.36,8.9
2024-05-24,24.96,9.04
2024-05-27,25.2,9.42
2024-05-28,25.5,9.3
2024-05-29,25.85,9.04
2024-05-30,25.33,9.17
2024-05-31,24.81,9.73
2024-06-03,24.83,9.13
2024-06-04,26.11,8.78
2024-06-05,25.68,8.25
2024-06-06,24.69,7.93
2024-06-07,24.7,7.89
2024-06-10,24.83,8.13
2024-06-11,25.26,8.3
2024-06-12,23.69,8.27
2024-06-13,22.36,8.17
2024-06-14,23.02,8.18
2024-06-17,22.37,7.66
2024-06-18,23.01,7.68
2024-06-19,22.9,7.44
2024-06-20,22.96,7.27
2024-06-21,22.42,7.38
2024-06-24,22.47,7.55
2024-06-25,21.24,7.67
2024-06-26,21.1,7.59
2024-06-27,21.24,7.51
2024-06-28,21.53,7.6
2024-07-01,21.37,7.51
2024-07-02,20.67,7.62
2024-07-03,21.24,7.67
2024-07-04,20.96,7.83
2024-07-05,20.08,8.18
2024-07-08,19.24,8.22
2024-07-09,19.09,7.93
2024-07-10,19.62,8.08
2024-07-11,20.22,8.45
2024-07-12,20.5,8.56
2024-07-15,19.85,8.25
2024-07-16,19.87,8.28
2024-07-17,20.48,8.18
2024-07-18,19.85,8.11
2024-07-19,19.66,8.14
2024-07-22,19.38,8.1
2024-07-23,20.42,8.07
2024-07-24,21.02,7.79
2024-07-25,21.35,8.06
2024-07-26,22.34,7.87
2024-07-29,22.5,8.09
2024-07-30,22.61,8.12
2024-07-31,23.56,8.32
2024-08-01,23.46,8.03
2024-08-02,22.62,7.87
2024-08-05,23.28,7.84
2024-08-06,23.04,7.7
2024-08-07,23.9,7.64
2024-08-08,22.52,7.4
2024-08-09,23.15,7.39
2024-08-12,23.36,7.35
2024-08-13,23.07,7.3
2024-08-14,22.88,7.17
2024-08-15,23.2,7.24
2024-08-16,23.12,7.34
2024-08-19,23.27,7.14
2024-08-20,23.2,7.34
2024-08-21,23.25,7.18
2024-08-22,23.65,6.97
2024-08-23,22.64,6.96
2024-08-26,22.51,6.9
2024-08-27,22.67,7.18
2024-08-28,22.29,6.9
2024-08-29,23.27,6.68
2024-08-30,22.75,6.61
2024-09-02,22.53,6.56
2024-09-03,22.11,6.45
2024-09-04,22.55,6.65
2024-09-05,22.71,6.49
2024-09-06,23.78,6.35
2024-09-09,23.29,6.11
2024-09-10,22.65,6.38
2024-09-11,22.58,6.41
2024-09-12,22.69,6.19
2024-09-13,23.24,6.4
2024-09-16,23.66,6.63
2024-09-17,23.29,6.66
2024-09-18,23.15,6.56
2024-09-19,22.84,6.32
2024-09-20,23.68,6.14
2024-09-23,22.91,5.94
2024-09-24,23.64,5.9
2024-09-25,23.24,5.87
2024-09-26,23.47,5.8
2024-09-27,23.46,5.81
2024-09-30,23.39,6.02
2024-10-01,22.12,6.1
2024-10-02,21.56,5.62
2024-10-03,21.92,5.49
2024-10-04,20.76,5.7
2024-10-07,21.62,5.56
2024-10-08,22.16,5.74
2024-10-09,21.72,5.78
2024-10-10,22.39,5.9
2024-10-11,22.22,5.78
2024-10-14,21.83,5.68
2024-10-15,22.8,5.23
2024-10-16,23.5,5.39
2024-10-17,23.09,5.58
2024-10-18,23.06,5.4
2024-10-21,23.63,5.24
2024-10-22,23.65,5.35
2024-10-23,23.58,5.69
2024-10-24,22.95,6.13
2024-10-25,22.94,5.85
2024-10-28,23.75,6.15
2024-10-29,23.72,6.07
2024-10-30,23.71,6.15
2024-10-31,23.83,6.11
2024-11-01,23.78,5.84
2024-11-04,24.23,5.68
2024-11-05,24.41,5.96
2024-11-06,24.24,6.03
2024-11-07,23.19,5.69
2024-11-08,24.25,5.78
2024-11-11,23.96,6.04
2024-11-12,24.11,6.0
2024-11-13,24.14,6.3
2024-11-14,24.09,6.32
2024-11-15,24.97,6.2
2024-11-18,23.82,6.28
2024-11-19,23.99,6.23
2024-11-20,23.71,6.1
2024-11-21,23.51,6.12
2024-11-22,22.79,6.12
2024-11-25,22.91,6.35
2024-11-26,23.19,6.08
2024-11-27,22.58,5.79
2024-11-28,23.0,5.71
2024-11-29,22.99,5.61
2024-12-02,22.97,5.62
2024-12-03,22.74,5.6
2024-12-04,22.04,5.53
2024-12-05,23.7,5.33
2024-12-06,24.81,5.47
2024-12-09,24.33,5.47
2024-12-10,22.95,5.2
2024-12-11,23.79,5.3
2024-12-12,24.06,5.43
2024-12-13,23.38,5.44
2024-12-16,23.2,5.5
2024-12-17,22.92,5.61
2024-12-18,23.16,5.45
2024-12-19,23.26,5.39
2024-12-20,22.38,5.71
2024-12-23,22.35,5.48
2024-12-24,21.6,5.52
2024-12-25,21.77,5.27
2024-12-26,21.7,5.39
2024-12-27,21.39,5.56
2024-12-30,21.36,5.76
2024-12-31,21.43,5.65
2025-01-01,21.18,5.45
2025-01-02,21.31,5.69
2025-01-03,21.78,5.58
2025-01-06,20.94,5.79
2025-01-07,21.59,5.91
2025-01-08,21.52,6.03
2025-01-09,21.16,6.15
2025-01-10,21.59,5.95
2025-01-13,21.66,6.32
2025-01-14,21.84,6.5
2025-01-15,22.54,6.64
2025-01-16,21.65,6.57
2025-01-17,21.03,6.77
2025-01-20,20.36,6.64
2025-01-21,20.75,6.82
2025-01-22,20.66,6.88
